,decades,ranks
1769862346,1,851350
3396564604,2,710160
4085060862,1,462507
629267481,1,548267
700212883,2,292027
709221533,1,972622
2219149304,9,791118
586548811,0,249575
685430191,1,982230
752249427,1,647642
1628071602,0,720334
1850860206,2,604998
2030749462,0,0
2442259284,1,604792
2863590044,2,683854
142857473,1,748328
768864135,1,632938
1078994008,0,587164
1216932622,0,289345
1340544964,1,584637
1858269066,1,924215
2140451508,0,450764
490080303,2,705460
585112001,0,474403
924024963,1,361033
1260622944,0,447843
2021893362,9,509676
2058763786,1,645430
4370234962,0,619073
570706541,0,713921
1946097186,4,451941
2588923962,0,0
2856280024,1,561677
1388243804,0,492088
1544350422,0,84144
1703278206,2,281858
2236392244,0,234859
3132660884,0,322714
4326404242,1,573917
179441693,4,15788
2119773302,1,249525
3820625522,1,331561
3277145024,4,191865
829098655,0,0
1270657944,0,272339
458210621,1,566109
1106079922,0,285019
167271503,1,641118
492413351,1,941627
598691871,1,595838
762298077,1,687999
807615887,1,809521
1841115586,2,831119
1916704066,1,956118
2026791126,1,598056
2216851844,3,514708
2240031508,1,647021
2367355564,2,919903
3724175602,1,620873
3903547902,1,697762
4009513922,0,315050
4339166702,1,574427
66312261,3,823433
142291331,2,602941
2047789442,1,676370
2332553664,0,658773
4764186,1,625481
333654537,1,485797
1377700548,1,723034
2179672644,0,505254
3537552324,1,613137
372312875,4,572600
677036641,2,650843
771917535,1,610985
1566642722,2,752253
939524041,1,179316
3126190204,0,281282
1985861626,1,440995
887585967,0,0
3967244582,0,355548
1476265842,1,545160
1750524306,0,659523
2342260864,1,597599
1329515344,0,348815
1669825586,1,0
614268327,1,573793
2730352162,0,85736
1708584682,1,694520
2010748802,1,689975
2201051264,1,792790
2245316604,1,285696
2595389422,0,0
2798037744,3,571715
2898756604,1,592741
3082851064,0,0
3707736962,2,716054
490900201,1,768307
530509663,1,704189
628935127,0,824179
675349513,1,766295
819495575,1,928257
859610473,0,526887
1247990486,1,837969
2181971204,9,931091
2183179004,1,969708
3038687684,0,178849
16457109,1,840503
453467581,1,417489
654841901,0,551125
845523995,1,816958
896534955,1,692904
911053823,1,788438
924346763,1,544048
1002227762,1,591727
1090457844,2,790168
1375628524,0,469075
3624329002,0,0
1020455242,0,0
1076141124,1,385259
1327519744,0,275370
2148338006,0,365705
2323476568,1,920547
2347837804,1,909996
685252703,1,594162
1713279322,0,0
2928868504,1,739726
570796917,1,727818
756147085,2,789461
913409163,1,627862
933200091,0,0
1378352248,2,122258
3006652464,0,0
3567638124,1,353640
981300102,0,594887
1619551226,1,502115
154438241,0,472690
224852735,1,653279
489067451,0,226259
514632222,0,0
704584271,0,263290
874125361,1,0
3922454482,9,854691
976028542,1,534915
1149082982,2,458687
342584215,0,0
1407059522,2,0
245697705,1,588828
503995893,1,982761
508692075,1,265725
812851495,1,727758
996463106,0,521778
1084598328,1,731075
1105720162,1,663033
1361197544,1,955103
1868327282,0,599153
1953723002,1,460891
2685799802,1,951428
4045672042,1,698361
18748199,1,469550
153952351,1,790436
249776795,1,908681
301164343,1,33664
360460683,1,0
476103811,1,0
503641135,0,945645
1092289204,4,435542
1999914666,0,324241
2118646282,2,718577
3307296564,1,623652
3538561124,1,508019
10332041,1,972419
534383193,1,766064
1403540702,3,279713
1448729282,0,106935
1957130686,1,524642
2012968166,2,693255
3216857824,2,0
14387578,1,915873
1001456942,1,541661
1823331866,1,810861
1828393342,3,607275
2179845404,0,58160
367755085,0,796105
1930619306,2,611978
3180276144,4,179705
771307505,0,220421
965199162,0,0
1605108926,1,569822
475103043,0,0
1078689364,1,923948
148293861,1,660283
1576629902,9,529502
978184126,0,0
298100845,1,958486
854289711,1,962164
1311674304,3,746805
1345260904,1,373399
1614588122,0,434937
2157078526,1,586071
2408369408,1,970183
3131944524,1,733258
3909722082,1,679979
97662761,2,736465
1091900388,0,184895
1949271962,2,679597
2138590584,1,520190
2606214722,0,726379
2739707462,3,487849
3258866124,1,480839
3424517724,1,516613
3682146602,1,227731
1716315482,0,228617
2157269644,1,613992
2239459004,1,762895
3347324804,1,745035
4308518162,1,402777
1581185382,1,529945
1630863582,2,541527
1873859086,1,967189
2371120564,0,597202
2815939404,0,334775
4013376262,1,490108
308705523,0,492143
357845656,1,862928
401764675,1,741424
1182921422,9,570344
2124752562,4,879904
3030834544,0,801037
3409719104,1,307064
3816083322,1,548484
1885847962,0,181367
260128715,0,0
2982085184,2,563283
3801465782,3,588935
1592565082,1,640321
1672478062,0,375661
3811350282,9,582915
1523448366,0,6583
3380247724,0,283045
3000821364,1,412484
2389501544,0,487113
3522356704,9,151933
1763992542,1,836809
2430646408,1,963694
2439089488,0,679233
3852483862,1,617804
16872657,1,954701
272634993,1,698186
403639667,1,630497
843846995,1,598037
1086329664,0,436141
1128140406,1,920072
1202830626,1,813353
1520647082,3,724862
1626302386,1,727471
2589387542,1,520739
3807094002,1,958015
3832171762,1,629705
3845120282,1,620570
59637041,1,780052
448873761,1,696747
932661223,1,609458
1380595784,0,11673
3856284022,1,714748
4034638682,2,156594
14781688,0,145265
55204961,2,673763
947297801,1,778844
1297952408,1,531461
3391286784,1,481668
3503294184,1,516259
53939621,0,421218
587769751,2,431841
692185443,0,0
809596367,1,583944
1040998822,0,658730
1741756726,0,567829
1743434286,1,795518
4412571702,0,0
3925522982,2,321481
125862733,1,821064
900121145,1,469574
2498976846,0,401125
4143284682,1,312845
476821643,2,544607
1016687662,1,565165
3724505502,1,510521
890640515,1,478815
865247491,0,0
1818056722,1,631458
2388293924,0,663371
760289465,1,728200
1204885526,0,0
1244578082,2,76095
2436843888,1,991377
3444335464,1,634009
3478300684,0,473316
3965492202,1,939891
4081906642,1,414486
376656745,1,933719
568417341,1,826949
591908781,1,787867
827638887,2,883849
927157283,1,626977
1092912942,1,845214
1542175086,2,577780
2063886882,1,607064
2359869708,1,944243
2656442442,1,784575
2885105664,9,673818
3098360864,0,443331
3759995782,1,416072
32042391,3,648001
960840626,1,629831
1220039346,1,780661
4241828442,1,583670
2390554024,0,290799
2539423886,0,491851
3706441102,1,167440
1024894422,0,0
2082139802,1,737206
936887491,2,275821
1481306142,4,354973
1507731226,1,195653
1554964786,1,603921
1650901182,1,833979
3328378404,9,287153
3597567244,0,0
537585693,1,835109
2435196708,0,285137
1906504786,0,183791
2405406288,3,292536
3562279424,1,209771
523429195,0,0
2309883364,0,431951
5480111,1,529440
485707221,0,0
1800128226,0,0
1845026762,0,636417
1925139986,1,494203
3370438384,0,0
1035295026,1,789524
1286058868,1,715266
1471785082,0,328324
560865991,0,83956
1732740482,1,682451
826312327,3,454896
1881218826,0,399377
1945318582,1,659821
2643857902,1,819382
2830285324,0,97479
3158546484,2,612342
3261363404,1,836258
3604837982,1,923103
3862076042,1,656621
4086586162,1,561331
81681941,1,911817
215391853,2,278314
290735905,1,699781
357749435,1,992083
408644601,1,640788
587539551,3,992330
603409471,0,0
695260671,2,635679
798464687,1,950774
848624993,2,729577
868725091,0,602553
923311513,0,513655
1116857046,2,644526
1438317966,1,752713
1844936566,1,967787
2864576764,1,554925
916991421,1,739121
971890806,1,323127
1297697184,0,846611
1305996104,1,809954
1439945362,1,506627
1534327102,0,969332
273030585,0,164759
736053375,1,581198
1160138006,1,264919
1959309762,0,498879
2198826944,0,141044
2240931728,0,311201
2948087224,1,568831
604559616,1,221192
922045393,1,543621
1675759966,3,704511
1999339606,0,0
2834668044,1,904621
4084757282,1,214608
781416505,1,443783
2652714062,1,602593
649897231,1,399972
712375481,0,0
1814977782,1,270704
491568073,0,108975
2241943844,1,491275
2269968388,0,0
3434143764,0,0
379342955,1,729834
749264977,0,223458
1418840862,0,230611
1644639022,0,379170
693692111,1,168672
883135965,1,562659
970385582,2,649095
1262115964,1,969413
1462996602,1,753229
1500994506,1,943363
1754629562,0,736255
1991684482,1,994278
2336840344,2,735676
2466306088,0,687471
