,user_id,nb_lang,nb_genres,nb_decades,rank_max_dist
0,1769862346,2,35,3,738042
1,3396564604,3,44,4,478196
2,4085060862,2,11,2,462507
3,629267481,3,31,2,548267
4,700212883,1,15,3,289697
5,709221533,2,30,4,726998
6,2219149304,11,45,3,612848
7,586548811,1,4,1,194782
8,685430191,3,38,3,743435
9,752249427,2,8,2,506204
10,1628071602,1,15,1,720334
11,1850860206,1,38,6,468275
12,2030749462,1,4,1,0
13,2442259284,3,35,5,604472
14,2863590044,2,23,2,561409
15,142857473,2,28,3,748328
16,768864135,2,28,3,632938
17,1078994008,1,31,1,587164
18,1216932622,1,7,1,289345
19,1340544964,3,40,6,451115
20,1858269066,3,25,2,924215
21,2140451508,1,5,1,43876
22,490080303,2,19,3,591367
23,585112001,2,8,1,474403
24,924024963,2,24,2,361033
25,1260622944,1,12,1,193869
26,2021893362,2,19,2,509676
27,2058763786,3,23,2,605224
28,4370234962,1,6,1,0
29,570706541,5,23,1,667949
30,1946097186,3,12,4,451941
31,2588923962,1,2,1,0
32,2856280024,2,9,3,561677
33,1388243804,2,6,1,329126
34,1544350422,2,8,1,84144
35,1703278206,3,11,3,281858
36,2236392244,1,8,1,234859
37,3132660884,1,4,1,322714
38,4326404242,3,24,3,573917
39,179441693,1,8,2,15788
40,2119773302,2,13,2,249525
41,3820625522,1,4,2,331561
42,3277145024,1,17,3,191865
43,829098655,1,3,1,0
44,1270657944,1,19,1,272339
45,458210621,3,26,2,566109
46,1106079922,1,4,1,285019
47,167271503,2,23,3,641118
48,492413351,6,91,7,969727
49,598691871,1,17,5,595838
50,762298077,3,47,3,687999
51,807615887,2,29,4,809521
52,1841115586,1,12,4,606525
53,1916704066,3,46,4,956118
54,2026791126,3,34,3,543888
55,2216851844,2,15,3,514708
56,2240031508,4,51,5,647021
57,2367355564,2,14,2,676640
58,3724175602,2,15,5,574474
59,3903547902,2,37,2,578099
60,4009513922,2,8,1,315050
61,4339166702,4,33,3,571934
62,66312261,4,39,6,823433
63,142291331,3,32,5,849427
64,2047789442,3,40,4,676370
65,2332553664,2,11,1,658773
66,4764186,4,65,7,625481
67,333654537,2,15,2,485797
68,1377700548,3,38,5,521258
69,2179672644,1,3,1,364169
70,3537552324,3,61,8,527935
71,372312875,3,32,4,572600
72,677036641,2,20,3,536201
73,771917535,3,32,3,610985
74,1566642722,3,14,2,354622
75,939524041,1,9,2,179316
76,3126190204,1,7,1,851185
77,1985861626,1,9,4,667192
78,887585967,1,2,1,0
79,3967244582,1,3,1,355548
80,1476265842,1,11,3,445859
81,1750524306,1,17,1,490140
82,2342260864,3,16,1,597599
83,1329515344,2,18,1,348815
84,1669825586,2,1,2,0
85,614268327,2,15,2,573793
86,2730352162,1,6,1,85736
87,1708584682,2,11,2,682953
88,2010748802,2,24,3,556828
89,2201051264,3,13,3,792790
90,2245316604,3,10,2,285696
91,2595389422,0,0,0,0
92,2798037744,3,41,4,536928
93,2898756604,2,24,5,592741
94,3082851064,0,0,0,0
95,3707736962,5,49,6,550375
96,490900201,10,61,7,768307
97,530509663,3,37,2,704189
98,628935127,1,11,1,824179
99,675349513,2,34,3,571689
100,819495575,5,35,3,660129
101,859610473,2,20,1,526887
102,1247990486,2,31,3,837969
103,2181971204,2,14,3,931091
104,2183179004,2,31,6,969708
105,3038687684,1,4,1,178849
106,16457109,3,65,5,717913
107,453467581,3,20,2,417489
108,654841901,2,7,1,551125
109,845523995,4,20,2,623722
110,896534955,2,38,5,692904
111,911053823,2,23,3,665823
112,924346763,2,32,3,481703
113,1002227762,2,36,2,591727
114,1090457844,4,45,3,768846
115,1375628524,3,12,1,469075
116,3624329002,1,1,1,0
117,1020455242,1,6,1,0
118,1076141124,2,18,2,385259
119,1327519744,1,3,1,275370
120,2148338006,1,3,1,271585
121,2323476568,2,28,3,936146
122,2347837804,1,7,2,597973
