,songs,decades,languages,genres
1769862346,147,3,2,35
3396564604,96,4,3,44
4085060862,67,2,2,11
629267481,62,2,3,31
700212883,10,3,1,15
709221533,191,4,2,30
2219149304,239,4,11,45
586548811,11,1,1,4
685430191,370,3,3,38
752249427,42,2,2,8
1628071602,39,1,1,15
1850860206,75,6,1,38
2030749462,18,1,1,4
2442259284,78,6,3,35
2863590044,24,3,2,23
142857473,56,3,2,28
768864135,37,3,2,28
1078994008,65,1,1,31
1216932622,3,1,1,7
1340544964,45,7,3,40
1858269066,63,2,3,25
2140451508,6,1,1,5
490080303,109,3,2,19
585112001,8,1,2,8
924024963,27,2,2,24
1260622944,9,1,1,12
2021893362,30,3,2,19
2058763786,76,2,3,23
4370234962,14,1,1,6
570706541,22,1,5,23
1946097186,20,4,3,12
2588923962,2,1,1,2
2856280024,12,2,2,9
1388243804,51,1,2,6
1544350422,3,1,2,8
1703278206,9,3,3,11
2236392244,7,1,1,8
3132660884,3,1,1,4
4326404242,61,4,3,24
179441693,4,2,1,8
2119773302,12,2,2,13
3820625522,3,2,1,4
3277145024,5,3,1,17
829098655,2,1,1,3
1270657944,10,1,1,19
458210621,31,2,3,26
1106079922,3,1,1,4
167271503,44,3,2,23
492413351,856,6,6,91
598691871,48,5,1,17
762298077,100,3,3,47
807615887,77,5,2,29
1841115586,209,4,1,12
1916704066,208,4,3,46
2026791126,112,3,3,34
2216851844,66,3,2,15
2240031508,635,6,4,51
2367355564,54,2,2,14
3724175602,145,5,2,15
3903547902,125,3,2,37
4009513922,19,1,2,8
4339166702,145,4,4,33
66312261,86,7,4,39
142291331,237,5,3,32
2047789442,119,5,3,40
2332553664,33,1,2,11
4764186,112,8,4,65
333654537,27,2,2,15
1377700548,115,4,3,38
2179672644,24,1,1,3
3537552324,242,8,3,61
372312875,44,4,3,32
677036641,21,3,2,20
771917535,48,3,3,32
1566642722,21,2,3,14
939524041,38,2,1,9
3126190204,8,1,1,7
1985861626,25,4,1,9
887585967,5,1,1,2
3967244582,18,1,1,3
1476265842,11,3,1,11
1750524306,54,1,1,17
2342260864,13,2,3,16
1329515344,23,1,2,18
1669825586,37,2,2,1
614268327,24,2,2,15
2730352162,6,1,1,6
1708584682,84,2,2,11
2010748802,129,3,2,24
2201051264,122,3,3,13
2245316604,19,2,3,10
2595389422,4,0,0,0
2798037744,59,4,3,41
2898756604,56,5,2,24
3082851064,16,0,0,0
3707736962,117,7,5,49
490900201,234,8,10,61
530509663,50,2,3,37
628935127,99,1,1,11
675349513,43,3,2,34
819495575,118,3,5,35
859610473,71,1,2,20
1247990486,311,3,2,31
2181971204,69,3,2,14
2183179004,46,6,2,31
3038687684,5,1,1,4
16457109,240,5,3,65
453467581,17,2,3,20
654841901,16,1,2,7
845523995,109,2,4,20
896534955,77,5,2,38
911053823,60,3,2,23
924346763,92,3,2,32
1002227762,40,2,2,36
1090457844,287,3,4,45
1375628524,17,1,3,12
